Stage;Epoch;TotalLoss;TripletLoss;BCELoss;Precision@K;Recall@K;mAP;FibroseF1;EmphysemF1;NoduleF1;MacroF1
Stage1;1;1.6617;0.9569;0.7048;0.5187;0.3458;0.5648;0.6667;0.0000;0.0000;0.6667
Stage1;2;1.5735;0.8952;0.6782;0.4906;0.3271;0.5273;0.5581;0.0000;0.0000;0.5581
Stage1;3;1.4701;0.8144;0.6558;0.4750;0.3167;0.5493;0.5128;0.0000;0.0000;0.5128
Stage1;4;1.2676;0.6555;0.6121;0.4656;0.3104;0.5531;0.3333;0.0000;0.0000;0.3333
Stage1;5;1.0252;0.4688;0.5564;0.4906;0.3271;0.5306;0.6383;0.0000;0.0000;0.6383
Stage2;6;0.8427;0.3464;0.4963;0.4781;0.3188;0.5415;0.6000;0.0000;0.0000;0.6000
Stage2;7;0.5601;0.1935;0.3666;0.5187;0.3458;0.5689;0.5581;0.0000;0.0000;0.5581
Stage2;8;0.4381;0.1415;0.2966;0.5094;0.3396;0.5681;0.6383;0.0000;0.0000;0.6383
Stage2;9;0.2615;0.0566;0.2048;0.4906;0.3271;0.5247;0.5641;0.0000;0.0000;0.5641
Stage2;10;0.2647;0.0843;0.1805;0.5094;0.3396;0.5589;0.6383;0.0000;0.0000;0.6383
